User,post_id,Reaction Type,Reaction Date,User2_reacted
741,11927,Comment,"2020/04/29, 17:48:27",755
711,7221,Emoticon,"2020/04/29, 17:27:26",480
701,6725,Emoticon,"2020/04/29, 16:28:54",160
750,5268,Emoticon,"2020/04/29, 17:49:42",625
656,8322,Comment,"2020/04/29, 16:11:12",823
673,7442,Like,"2020/04/29, 17:01:11",527
204,6162,Emoticon,"2020/04/29, 17:10:33",662
313,3401,Like,"2020/04/29, 17:41:20",264
164,2741,Like,"2020/04/29, 16:47:42",391
833,8864,Comment,"2020/04/29, 18:00:14",569
733,8064,Emoticon,"2020/04/29, 17:14:09",990
717,8913,Like,"2020/04/29, 16:53:11",223
641,1272,Emoticon,"2020/04/29, 16:21:33",924
734,5490,Emoticon,"2020/04/29, 16:41:29",982
465,1629,Emoticon,"2020/04/29, 16:11:37",523
13,7640,Comment,"2020/04/29, 16:23:39",70
635,9018,Emoticon,"2020/04/29, 16:21:13",178
837,13554,Emoticon,"2020/04/29, 16:59:23",477
676,2498,Emoticon,"2020/04/29, 18:05:25",95
273,10896,Comment,"2020/04/29, 16:24:50",701
811,2735,Like,"2020/04/29, 17:19:46",834
351,13302,Comment,"2020/04/29, 16:28:20",148
709,10276,Comment,"2020/04/29, 17:16:42",20
974,8744,Like,"2020/04/29, 16:22:27",313
674,4427,Like,"2020/04/29, 17:58:18",501
646,11174,Like,"2020/04/29, 16:37:54",982
697,9571,Like,"2020/04/29, 16:13:26",937
204,2600,Like,"2020/04/29, 17:11:26",3
645,4310,Like,"2020/04/29, 16:54:50",939
788,7602,Emoticon,"2020/04/29, 16:59:29",495
66,5349,Emoticon,"2020/04/29, 16:59:47",85
812,9548,Comment,"2020/04/29, 16:46:56",143
738,6498,Comment,"2020/04/29, 17:25:35",402
402,6877,Comment,"2020/04/29, 16:57:11",532
950,4182,Emoticon,"2020/04/29, 16:15:34",533
19,5000,Emoticon,"2020/04/29, 17:13:07",411
948,1444,Like,"2020/04/29, 16:53:02",851
680,13828,Comment,"2020/04/29, 16:49:28",948
270,12559,Like,"2020/04/29, 16:33:25",554
887,2677,Like,"2020/04/29, 16:04:28",117
738,9634,Emoticon,"2020/04/29, 17:40:01",803
708,2554,Comment,"2020/04/29, 17:06:11",904
726,13046,Comment,"2020/04/29, 17:32:27",517
500,8361,Like,"2020/04/29, 17:11:46",603
708,10143,Like,"2020/04/29, 17:02:31",118
642,2176,Comment,"2020/04/29, 17:57:19",946
699,3158,Emoticon,"2020/04/29, 16:43:14",648
670,3226,Comment,"2020/04/29, 17:11:24",984
549,7337,Emoticon,"2020/04/29, 17:33:11",261
75,14044,Emoticon,"2020/04/29, 17:10:35",155
13,13088,Comment,"2020/04/29, 16:05:55",755
525,1194,Comment,"2020/04/29, 16:44:20",258
730,5895,Comment,"2020/04/29, 17:19:46",320
705,7191,Like,"2020/04/29, 17:22:28",533
674,8019,Like,"2020/04/29, 16:41:37",528
65,11688,Emoticon,"2020/04/29, 17:02:44",656
646,7032,Emoticon,"2020/04/29, 16:49:45",545
187,4500,Comment,"2020/04/29, 16:05:20",390
658,12615,Comment,"2020/04/29, 16:45:35",160
313,13713,Like,"2020/04/29, 16:36:21",271
930,9914,Emoticon,"2020/04/29, 17:34:14",965
736,13270,Comment,"2020/04/29, 16:44:22",86
124,2020,Emoticon,"2020/04/29, 17:44:57",960
734,8051,Emoticon,"2020/04/29, 17:55:39",114
946,3268,Emoticon,"2020/04/29, 18:07:46",750
727,8647,Comment,"2020/04/29, 16:55:32",83
946,2611,Emoticon,"2020/04/29, 16:37:00",549
988,5245,Emoticon,"2020/04/29, 15:58:28",15
713,8846,Emoticon,"2020/04/29, 17:17:32",254
521,7343,Comment,"2020/04/29, 17:30:23",967
647,13369,Comment,"2020/04/29, 17:08:39",113
616,11648,Like,"2020/04/29, 17:31:28",13
549,13500,Emoticon,"2020/04/29, 16:28:24",569
654,4179,Like,"2020/04/29, 17:21:41",324
723,9995,Emoticon,"2020/04/29, 16:26:48",383
466,11167,Comment,"2020/04/29, 16:30:25",155
659,8374,Comment,"2020/04/29, 17:24:35",378
681,6559,Comment,"2020/04/29, 16:40:17",254
651,10797,Emoticon,"2020/04/29, 16:42:29",537
69,2509,Emoticon,"2020/04/29, 16:39:57",558
643,2321,Comment,"2020/04/29, 17:47:02",667
753,7089,Comment,"2020/04/29, 16:14:46",350
465,8537,Like,"2020/04/29, 17:02:11",300
688,9646,Comment,"2020/04/29, 16:34:09",848
642,13300,Comment,"2020/04/29, 17:20:31",171
678,13871,Like,"2020/04/29, 16:54:01",19
721,12362,Emoticon,"2020/04/29, 17:10:26",84
636,11150,Like,"2020/04/29, 16:05:22",367
677,9950,Emoticon,"2020/04/29, 16:54:58",325
735,12284,Comment,"2020/04/29, 17:00:29",347
710,13325,Like,"2020/04/29, 17:29:53",933
719,6994,Emoticon,"2020/04/29, 17:28:11",138
672,10758,Emoticon,"2020/04/29, 17:05:46",805
71,8520,Comment,"2020/04/29, 15:45:03",147
695,3295,Like,"2020/04/29, 17:24:40",310
118,1284,Emoticon,"2020/04/29, 17:48:29",589
465,13105,Like,"2020/04/29, 17:01:38",47
764,1489,Emoticon,"2020/04/29, 17:34:20",664
664,13190,Comment,"2020/04/29, 17:13:58",149
525,5328,Comment,"2020/04/29, 17:06:28",148
167,8414,Comment,"2020/04/29, 17:20:23",2
692,4454,Emoticon,"2020/04/29, 17:03:02",534
141,7240,Like,"2020/04/29, 16:42:43",110
18,1992,Emoticon,"2020/04/29, 16:26:00",491
753,9675,Like,"2020/04/29, 15:47:25",714
74,11194,Like,"2020/04/29, 18:10:57",362
957,8242,Comment,"2020/04/29, 16:47:47",298
67,9138,Emoticon,"2020/04/29, 17:46:28",976
238,7510,Comment,"2020/04/29, 17:02:37",440
706,11205,Emoticon,"2020/04/29, 17:32:34",981
659,9351,Emoticon,"2020/04/29, 17:55:00",465
729,1369,Like,"2020/04/29, 17:58:42",412
691,9917,Comment,"2020/04/29, 16:03:55",35
737,13060,Comment,"2020/04/29, 17:15:51",677
642,9704,Like,"2020/04/29, 16:49:51",688
714,14028,Like,"2020/04/29, 17:11:43",909
837,2520,Comment,"2020/04/29, 16:15:04",439
708,13169,Comment,"2020/04/29, 17:00:19",635
673,6685,Emoticon,"2020/04/29, 16:14:01",21
187,5796,Comment,"2020/04/29, 17:46:29",811
592,6559,Emoticon,"2020/04/29, 16:33:23",130
635,4789,Emoticon,"2020/04/29, 16:37:54",361
930,10360,Comment,"2020/04/29, 17:29:12",92
636,12911,Comment,"2020/04/29, 16:51:17",92
591,7174,Like,"2020/04/29, 17:44:18",269
650,7377,Like,"2020/04/29, 17:45:45",533
658,4491,Like,"2020/04/29, 16:49:22",918
974,2569,Comment,"2020/04/29, 16:54:47",983
238,2490,Like,"2020/04/29, 16:59:16",790
558,12633,Emoticon,"2020/04/29, 17:13:44",860
710,7273,Emoticon,"2020/04/29, 17:02:24",670
638,2587,Like,"2020/04/29, 16:39:59",398
591,3602,Comment,"2020/04/29, 15:32:43",70
792,4764,Comment,"2020/04/29, 16:12:45",761
215,4802,Like,"2020/04/29, 16:20:57",680
685,8623,Comment,"2020/04/29, 16:14:15",258
641,2489,Emoticon,"2020/04/29, 17:05:43",851
753,7770,Comment,"2020/04/29, 16:59:39",189
285,13644,Like,"2020/04/29, 16:51:55",842
516,1036,Comment,"2020/04/29, 17:19:32",295
764,6012,Emoticon,"2020/04/29, 18:24:01",865
285,12399,Like,"2020/04/29, 17:52:28",93
716,3581,Comment,"2020/04/29, 16:34:56",233
400,12773,Comment,"2020/04/29, 16:46:11",534
620,1962,Like,"2020/04/29, 16:48:49",173
727,5038,Comment,"2020/04/29, 17:12:00",591
715,10039,Emoticon,"2020/04/29, 17:13:18",694
811,5206,Like,"2020/04/29, 16:53:03",359
702,9049,Emoticon,"2020/04/29, 16:50:57",189
921,11828,Like,"2020/04/29, 16:48:40",339
67,1236,Like,"2020/04/29, 17:12:23",164
713,3500,Comment,"2020/04/29, 17:00:24",399
620,2452,Comment,"2020/04/29, 15:57:07",303
642,4963,Like,"2020/04/29, 16:55:10",961
603,7316,Comment,"2020/04/29, 17:09:25",515
660,2024,Like,"2020/04/29, 17:47:30",615
287,2742,Comment,"2020/04/29, 17:58:26",578
727,3289,Emoticon,"2020/04/29, 17:17:55",49
661,10162,Like,"2020/04/29, 16:20:26",996
