User,post_id,Reaction Type,Reaction Date,User2_reacted
741,11927,Comment,1588168107,755
711,7221,Emoticon,1588166846,480
701,6725,Emoticon,1588163334,160
750,5268,Emoticon,1588168182,625
656,8322,Comment,1588162272,823
673,7442,Like,1588165271,527
204,6162,Emoticon,1588165833,662
313,3401,Like,1588167680,264
164,2741,Like,1588164462,391
833,8864,Comment,1588168814,569
733,8064,Emoticon,1588166049,990
717,8913,Like,1588164791,223
641,1272,Emoticon,1588162893,924
734,5490,Emoticon,1588164089,982
465,1629,Emoticon,1588162297,523
13,7640,Comment,1588163019,70
635,9018,Emoticon,1588162873,178
837,13554,Emoticon,1588165163,477
676,2498,Emoticon,1588169125,95
273,10896,Comment,1588163090,701
811,2735,Like,1588166386,834
351,13302,Comment,1588163300,148
709,10276,Comment,1588166202,20
974,8744,Like,1588162947,313
674,4427,Like,1588168698,501
646,11174,Like,1588163874,982
697,9571,Like,1588162406,937
204,2600,Like,1588165886,3
645,4310,Like,1588164890,939
788,7602,Emoticon,1588165169,495
66,5349,Emoticon,1588165187,85
812,9548,Comment,1588164416,143
738,6498,Comment,1588166735,402
402,6877,Comment,1588165031,532
950,4182,Emoticon,1588162534,533
19,5000,Emoticon,1588165987,411
948,1444,Like,1588164782,851
680,13828,Comment,1588164568,948
270,12559,Like,1588163605,554
887,2677,Like,1588161868,117
738,9634,Emoticon,1588167601,803
708,2554,Comment,1588165571,904
726,13046,Comment,1588167147,517
500,8361,Like,1588165906,603
708,10143,Like,1588165351,118
642,2176,Comment,1588168639,946
699,3158,Emoticon,1588164194,648
670,3226,Comment,1588165884,984
549,7337,Emoticon,1588167191,261
75,14044,Emoticon,1588165835,155
13,13088,Comment,1588161955,755
525,1194,Comment,1588164260,258
730,5895,Comment,1588166386,320
705,7191,Like,1588166548,533
674,8019,Like,1588164097,528
65,11688,Emoticon,1588165364,656
646,7032,Emoticon,1588164585,545
187,4500,Comment,1588161920,390
658,12615,Comment,1588164335,160
313,13713,Like,1588163781,271
930,9914,Emoticon,1588167254,965
736,13270,Comment,1588164262,86
124,2020,Emoticon,1588167897,960
734,8051,Emoticon,1588168539,114
946,3268,Emoticon,1588169266,750
727,8647,Comment,1588164932,83
946,2611,Emoticon,1588163820,549
988,5245,Emoticon,1588161508,15
713,8846,Emoticon,1588166252,254
521,7343,Comment,1588167023,967
647,13369,Comment,1588165719,113
616,11648,Like,1588167088,13
549,13500,Emoticon,1588163304,569
654,4179,Like,1588166501,324
723,9995,Emoticon,1588163208,383
466,11167,Comment,1588163425,155
659,8374,Comment,1588166675,378
681,6559,Comment,1588164017,254
651,10797,Emoticon,1588164149,537
69,2509,Emoticon,1588163997,558
643,2321,Comment,1588168022,667
753,7089,Comment,1588162486,350
465,8537,Like,1588165331,300
688,9646,Comment,1588163649,848
642,13300,Comment,1588166431,171
678,13871,Like,1588164841,19
721,12362,Emoticon,1588165826,84
636,11150,Like,1588161922,367
677,9950,Emoticon,1588164898,325
735,12284,Comment,1588165229,347
710,13325,Like,1588166993,933
719,6994,Emoticon,1588166891,138
672,10758,Emoticon,1588165546,805
71,8520,Comment,1588160703,147
695,3295,Like,1588166680,310
118,1284,Emoticon,1588168109,589
465,13105,Like,1588165298,47
764,1489,Emoticon,1588167260,664
664,13190,Comment,1588166038,149
525,5328,Comment,1588165588,148
167,8414,Comment,1588166423,2
692,4454,Emoticon,1588165382,534
141,7240,Like,1588164163,110
18,1992,Emoticon,1588163160,491
753,9675,Like,1588160845,714
74,11194,Like,1588169457,362
957,8242,Comment,1588164467,298
67,9138,Emoticon,1588167988,976
238,7510,Comment,1588165357,440
706,11205,Emoticon,1588167154,981
659,9351,Emoticon,1588168500,465
729,1369,Like,1588168722,412
691,9917,Comment,1588161835,35
737,13060,Comment,1588166151,677
642,9704,Like,1588164591,688
714,14028,Like,1588165903,909
837,2520,Comment,1588162504,439
708,13169,Comment,1588165219,635
673,6685,Emoticon,1588162441,21
187,5796,Comment,1588167989,811
592,6559,Emoticon,1588163603,130
635,4789,Emoticon,1588163874,361
930,10360,Comment,1588166952,92
636,12911,Comment,1588164677,92
591,7174,Like,1588167858,269
650,7377,Like,1588167945,533
658,4491,Like,1588164562,918
974,2569,Comment,1588164887,983
238,2490,Like,1588165156,790
558,12633,Emoticon,1588166024,860
710,7273,Emoticon,1588165344,670
638,2587,Like,1588163999,398
591,3602,Comment,1588159963,70
792,4764,Comment,1588162365,761
215,4802,Like,1588162857,680
685,8623,Comment,1588162455,258
641,2489,Emoticon,1588165543,851
753,7770,Comment,1588165179,189
285,13644,Like,1588164715,842
516,1036,Comment,1588166372,295
764,6012,Emoticon,1588170241,865
285,12399,Like,1588168348,93
716,3581,Comment,1588163696,233
400,12773,Comment,1588164371,534
620,1962,Like,1588164529,173
727,5038,Comment,1588165920,591
715,10039,Emoticon,1588165998,694
811,5206,Like,1588164783,359
702,9049,Emoticon,1588164657,189
921,11828,Like,1588164520,339
67,1236,Like,1588165943,164
713,3500,Comment,1588165224,399
620,2452,Comment,1588161427,303
642,4963,Like,1588164910,961
603,7316,Comment,1588165765,515
660,2024,Like,1588168050,615
287,2742,Comment,1588168706,578
727,3289,Emoticon,1588166275,49
661,10162,Like,1588162826,996
921,10722,Comment,1588162665,286
713,12112,Comment,1588163286,705
66,11640,Like,1588164316,919
652,5975,Comment,1588166051,637
187,11321,Like,1588162142,341
731,8660,Comment,1588164292,142
725,7058,Emoticon,1588166684,211
691,10921,Emoticon,1588166506,723
96,11899,Like,1588165719,924
681,13158,Like,1588163742,1000
815,10984,Emoticon,1588164696,482
238,3875,Comment,1588168762,529
738,11271,Like,1588163372,923
753,7909,Like,1588164734,351
833,7709,Like,1588164679,72
740,12708,Comment,1588164937,734
729,12153,Emoticon,1588164934,170
682,8714,Comment,1588166577,523
287,2683,Like,1588166247,813
611,13717,Like,1588167664,853
902,7946,Comment,1588167472,708
